variable,ncvar,dataset,monthly,file_name,download_path,download_function,file_name_orig,download_path_orig,version,long_name,abbreviated_name,time_frame,units,units_exp,dataset_list_v
precipitation_10,precipitation_10,WorldClim_2.1_XXX_YYY_ZZZm,TRUE,WorldClim_2.1_XXX_YYY_ZZZm_precipitation_10_v2.0.0.vrt,,download_worldclim_future,,,2.0.0,precipitation Oct,P Oct,october,mm per month,*mm~mo^-1*,
precipitation_11,precipitation_11,WorldClim_2.1_XXX_YYY_ZZZm,TRUE,WorldClim_2.1_XXX_YYY_ZZZm_precipitation_11_v2.0.0.vrt,,download_worldclim_future,,,2.0.0,precipitation Nov,P Nov,november,mm per month,*mm~mo^-1*,
precipitation_12,precipitation_12,WorldClim_2.1_XXX_YYY_ZZZm,TRUE,WorldClim_2.1_XXX_YYY_ZZZm_precipitation_12_v2.0.0.vrt,,download_worldclim_future,,,2.0.0,precipitation Dec,P Dec,december,mm per month,*mm~mo^-1*,
temperature_min_01,temperature_min_01,WorldClim_2.1_XXX_YYY_ZZZm,TRUE,WorldClim_2.1_XXX_YYY_ZZZm_temperature_min_01_v2.0.0.vrt,,download_worldclim_future,,,2.0.0,minimum temperature Jan,min T Jan,january,degrees Celsius,*degree*C*,
temperature_min_02,temperature_min_02,WorldClim_2.1_XXX_YYY_ZZZm,TRUE,WorldClim_2.1_XXX_YYY_ZZZm_temperature_min_02_v2.0.0.vrt,,download_worldclim_future,,,2.0.0,minimum temperature Feb,min T Feb,february,degrees Celsius,*degree*C*,
temperature_min_03,temperature_min_03,WorldClim_2.1_XXX_YYY_ZZZm,TRUE,WorldClim_2.1_XXX_YYY_ZZZm_temperature_min_03_v2.0.0.vrt,,download_worldclim_future,,,2.0.0,minimum temperature Mar,min T Mar,march,degrees Celsius,*degree*C*,
temperature_min_04,temperature_min_04,WorldClim_2.1_XXX_YYY_ZZZm,TRUE,WorldClim_2.1_XXX_YYY_ZZZm_temperature_min_04_v2.0.0.vrt,,download_worldclim_future,,,2.0.0,minimum temperature Apr,min T Apr,april,degrees Celsius,*degree*C*,
temperature_min_05,temperature_min_05,WorldClim_2.1_XXX_YYY_ZZZm,TRUE,WorldClim_2.1_XXX_YYY_ZZZm_temperature_min_05_v2.0.0.vrt,,download_worldclim_future,,,2.0.0,minimum temperature May,min T May,may,degrees Celsius,*degree*C*,
temperature_min_06,temperature_min_06,WorldClim_2.1_XXX_YYY_ZZZm,TRUE,WorldClim_2.1_XXX_YYY_ZZZm_temperature_min_06_v2.0.0.vrt,,download_worldclim_future,,,2.0.0,minimum temperature Jun,min T Jun,june,degrees Celsius,*degree*C*,
temperature_min_07,temperature_min_07,WorldClim_2.1_XXX_YYY_ZZZm,TRUE,WorldClim_2.1_XXX_YYY_ZZZm_temperature_min_07_v2.0.0.vrt,,download_worldclim_future,,,2.0.0,minimum temperature Jul,min T Jul,july,degrees Celsius,*degree*C*,
temperature_min_08,temperature_min_08,WorldClim_2.1_XXX_YYY_ZZZm,TRUE,WorldClim_2.1_XXX_YYY_ZZZm_temperature_min_08_v2.0.0.vrt,,download_worldclim_future,,,2.0.0,minimum temperature Aug,min T Aug,august,degrees Celsius,*degree*C*,
